game,console,loose_val,complete_val,new_val,date(D/M/Y)
Tank! Tank! Tank!,wii-u,24.99,25.00,50.48,28/02/2024
Axiom Verge Multiverse Edition,wii-u,129.83,140.00,157.14,28/02/2024
Assassin's Creed IV: Black Flag,wii-u,9.93,10.84,23.00,28/02/2024
New Super Mario Bros. U + New Super Luigi U [Refurbished],wii-u,34.78,40.00,56.00,28/02/2024
Walking Dead: Survival Instinct,wii-u,15.25,16.08,40.17,28/02/2024
Wonderful 101,wii-u,12.25,12.63,21.19,28/02/2024
Star Fox Guard,wii-u,4.42,5.69,8.00,28/02/2024
Adventure Time: Finn and Jake Investigations,wii-u,8.26,9.99,13.98,28/02/2024
Hot Wheels: World's Best Driver,wii-u,17.99,20.00,54.99,28/02/2024
Mario Kart 8 [Limited Edition],wii-u,766.49,099.98,980.00,28/02/2024
LEGO Marvel Super Heroes,wii-u,5.57,7.06,8.00,28/02/2024
Mario Party 10 Mario [amiibo Bundle],wii-u,21.56,42.49,65.00,28/02/2024
The Croods: Prehistoric Party,wii-u,41.25,47.18,135.18,28/02/2024
LEGO City Undercover,wii-u,7.95,8.30,18.12,28/02/2024
Shakedown Hawaii [Special Edition],wii-u,63.04,72.50,74.09,28/02/2024
Marvel Avengers: Battle For Earth,wii-u,10.45,10.47,35.66,28/02/2024
Rayman Legends,wii-u,10.28,10.99,23.24,28/02/2024
Terraria,wii-u,12.49,13.37,25.49,28/02/2024
Wii U Console Deluxe: Super Mario World Edition,wii-u,149.61,237.29,582.50,28/02/2024
Just Dance 2014,wii-u,6.56,7.44,12.78,28/02/2024
SpongeBob SquarePants: Plankton's Robotic Revenge,wii-u,13.60,14.25,26.26,28/02/2024
Fast and the Furious: Showdown,wii-u,15.44,18.24,54.22,28/02/2024
Batman: Arkham City Armored Edition,wii-u,10.26,11.21,30.39,28/02/2024
Skylanders SuperChargers Starter Pack,wii-u,24.85,34.99,30.05,28/02/2024
Jeopardy!,wii-u,16.99,25.50,54.52,28/02/2024
Epic Mickey 2: The Power of Two,wii-u,9.13,10.00,21.92,28/02/2024
LEGO Dimensions,wii-u,5.63,8.27,11.63,28/02/2024
Mario Party 10 Bowser [amiibo Bundle],wii-u,24.94,28.68,64.95,28/02/2024
Hello Kitty Kruisers,wii-u,26.38,31.24,61.95,28/02/2024
Rabbids Land,wii-u,14.59,14.81,39.49,28/02/2024
LEGO Batman 3: Beyond Gotham,wii-u,5.42,6.85,10.04,28/02/2024
Rise Of The Guardians,wii-u,11.99,12.54,26.38,28/02/2024
Yoshi's Woolly World [Green Yarn Yoshi Bundle],wii-u,29.95,34.44,77.68,28/02/2024
Amazing Spiderman,wii-u,24.82,32.30,108.83,28/02/2024
LEGO Jurassic World,wii-u,4.99,6.95,7.50,28/02/2024
LEGO Movie Videogame,wii-u,3.70,5.86,10.00,28/02/2024
Rodea the Sky Soldier,wii-u,18.79,23.69,27.98,28/02/2024
Skylanders SuperChargers: Dark Edition Starter Pack,wii-u,69.55,82.15,115.00,28/02/2024
Disney Infinity Starter Pack,wii-u,18.33,19.00,25.00,28/02/2024
LEGO The Hobbit,wii-u,9.66,10.99,20.07,28/02/2024
Sonic &amp; All-Stars Racing Transformed,wii-u,10.40,11.29,33.39,28/02/2024
Cabela's Big Game Hunter: Pro Hunts,wii-u,64.99,69.99,248.81,28/02/2024
Monster High: 13 Wishes,wii-u,12.00,12.04,35.26,28/02/2024
Penguins of Madagascar,wii-u,15.00,16.59,29.99,28/02/2024
Watch Dogs,wii-u,12.08,16.42,40.35,28/02/2024
Wii U 32GB Console [Super Mario 3D World Deluxe Set],wii-u,158.50,182.28,200.00,28/02/2024
Batman: Arkham Origins,wii-u,10.33,14.99,50.00,28/02/2024
Cabela's Dangerous Hunts 2013,wii-u,8.25,12.44,26.79,28/02/2024
Phineas &amp; Ferb: Quest for Cool Stuff,wii-u,28.90,28.90,74.62,28/02/2024
Wii U Gamepad Black,wii-u,63.40,72.86,102.00,28/02/2024
Just Dance 2018,wii-u,10.96,13.29,16.17,28/02/2024
Shakedown Hawaii,wii-u,61.35,70.56,79.95,28/02/2024
Deus Ex: Human Revolution Director's Cut,wii-u,28.99,34.38,39.22,28/02/2024
LEGO Star Wars The Force Awakens,wii-u,6.32,7.41,10.74,28/02/2024
Disney Planes,wii-u,9.55,10.76,37.23,28/02/2024
007 Legends,wii-u,18.24,19.35,32.46,28/02/2024
Guitar Hero Live Bundle,wii-u,8.07,34.99,50.19,28/02/2024
Assassin's Creed III,wii-u,5.00,6.84,10.36,28/02/2024
Mass Effect 3,wii-u,8.99,9.40,14.67,28/02/2024
Skylanders Swap Force: Starter Pack,wii-u,6.48,34.99,39.26,28/02/2024
Need for Speed Most Wanted,wii-u,12.76,19.24,53.73,28/02/2024
Scribblenauts Unlimited,wii-u,5.51,6.23,11.20,28/02/2024
Splinter Cell: Blacklist,wii-u,14.86,19.68,28.00,28/02/2024
Brunswick Pro Bowling,wii-u,6.25,13.27,16.58,28/02/2024
Just Dance 2015,wii-u,6.67,7.58,15.00,28/02/2024
Legend of Kay Anniversary,wii-u,11.47,12.35,20.11,28/02/2024
Just Dance: Disney Party 2,wii-u,7.26,8.56,12.36,28/02/2024
Skylander's Giants Starter Pack,wii-u,3.02,18.90,36.15,28/02/2024
Warriors Orochi 3 Hyper,wii-u,19.30,22.15,32.05,28/02/2024
Animal Crossing Amiibo Festival [amiibo Bundle],wii-u,8.00,8.94,13.49,28/02/2024
Family Party: 30 Great Games Obstacle Arcade,wii-u,7.52,7.75,10.50,28/02/2024
Funky Barn,wii-u,24.50,26.24,60.50,28/02/2024
Snoopy's Grand Adventure,wii-u,9.10,9.17,16.95,28/02/2024
SteamWorld Collection,wii-u,26.01,38.57,59.99,28/02/2024
Ben 10: Omniverse,wii-u,12.48,13.13,24.08,28/02/2024
LEGO Batman 2,wii-u,5.00,8.27,16.31,28/02/2024
